,2020-12-H1,2020-12-H1,2020-12-H1,2020-12-H1,2020-12-H1,2020-12-H1
87,0.0,7.40274667163722,1.1447592415717915,0.0,0.9595207108001668,0.0
94,0.0,17.695214423311786,0.0,0.0,0.4602445958663125,0.0
101,0.0,1.9678432192654685,1.3849989853623534,0.0,2.692381290495098,2.0306804932916127
102,0.0,10.695578535640232,0.0,2.7780820083460664,0.0,14.111109228325706
106,0.0,0.3759821423774262,13.700608741258309,0.0,13.700608741258309,0.0
112,0.0,7.526635788067614,0.2762955434882788,0.3701794896062669,0.0,0.5214452242390528
116,0.0,17.11494914619585,0.2708400579769324,0.0,19.02600572082049,0.6095265175858815
117,0.0,2.4461405126420543,0.0,0.0,0.0,0.6970622623815756
121,0.0,0.3316935190898596,0.0,0.0,0.0,5.417098731475631
124,0.0,0.2350818302161984,0.0,0.0,0.0,1.0108022746068228
127,0.0,2.1642902929967684,0.0,1.9191406122459944,0.0,0.0
129,0.0,0.412781871917599,0.0,1.0886669314505846,0.0,0.0
131,0.0,0.9245560082047196,26.06085428770164,0.0,1.6327276229003096,0.0
134,0.0,15.38526266716207,0.0,0.6473677489054932,0.0,0.0
137,0.0,16.82759384571639,0.0,16.82759384571639,0.0,0.0
139,0.0,6.768174516021976,6.768174516021976,0.0,0.0,0.0
140,0.0,3.5147213383463183,7.979837848092005,0.1785927575123482,3.7319984476663954,0.0
143,0.0,9.159165029676602,9.159165029676602,0.0,0.0,2.7780820083460664
145,0.0,25.513123542362468,0.3159718017526161,14.76785049324615,0.0,0.2708896532997628
147,0.0,0.6420114540398076,0.0,0.0,0.0,0.0
181,0.0,8.365639864389856,0.0,0.0,0.0,0.0
37,0.0,0.0,16.82759384571639,0.0,16.82759384571639,0.0
47,0.0,0.0,1.6327276229003096,0.0,0.0,4.748553779721547
118,0.0,0.0,4.748553779721547,0.0,0.0,4.031752578853464
119,0.0,0.0,0.3316935190898596,0.0,0.0,17.11494914619585
150,0.0,0.0,1.1375183244385498,0.0,1.8913672314609582,0.0
152,0.0,0.0,12.753189289228764,0.0,0.0,0.0
180,0.0,0.0,1.4460508277666029,0.0,0.0,0.0
211,0.0,0.0,0.9245560082047196,0.0,0.0,0.0
230,0.0,0.0,2.1213903387484536,0.0,2.1213903387484536,0.0
30,0.0,0.0,0.0,1.452647005703049,0.4788428419277206,23.50431458643907
69,0.0,0.0,0.0,0.3316935190898596,0.5214452242390528,0.0
99,0.0,0.0,0.0,0.3538130330722277,0.0,0.0
126,0.0,0.0,0.0,1.0599512395317705,0.0,0.0
136,0.0,0.0,0.0,2.180458368239486,0.0,7.205654858709124
151,0.0,0.0,0.0,2.1642902929967684,0.0,16.82759384571639
173,0.0,0.0,0.0,0.5263055658764341,0.0,0.0
31,0.0,0.0,0.0,0.0,8.365639864389856,0.0
96,0.0,0.0,0.0,0.0,0.0646723009708697,1.2893296076224705
132,0.0,0.0,0.0,0.0,0.7981871256328052,0.0
142,0.0,0.0,0.0,0.0,12.753189289228764,11.15984035265581
13,0.0,0.0,0.0,0.0,0.0,0.9245560082047196
15,0.0,0.0,0.0,0.0,0.0,0.2000179369750903
25,0.0,0.0,0.0,0.0,0.0,0.2747084931577053
29,0.0,0.0,0.0,0.0,0.0,2.180458368239486
33,0.0,0.0,0.0,0.0,0.0,0.2708400579769324
34,0.0,0.0,0.0,0.0,0.0,9.159165029676602
36,0.0,0.0,0.0,0.0,0.0,0.1184336309190468
39,0.0,0.0,0.0,0.0,0.0,1.8146928623651264
42,0.0,0.0,0.0,0.0,0.0,0.7981871256328052
43,0.0,0.0,0.0,0.0,0.0,0.2837844372356724
44,0.0,0.0,0.0,0.0,0.0,0.2997541311870682
