,hp,attack,defense,special-attack,special-defense,speed
90,7.459127116755793,11.293417060880296,45.630548985328396,6.113846325243384,45.80698100918689,4.096259898190045
91,3.8799780183052244,0.933257918552036,1.2001287621692034,2.819912930207048,0.0,0.0
92,8.05293817701906,8.893052413273,1.1816767791032496,1.2704551881941586,0.1172196369806663,2.5662182486631018
93,1.0206705059646235,0.0,0.0,0.0,0.0,0.0
95,44.6987907925408,40.520822621006445,30.500538830042505,42.55233507301522,38.420188879747705,10.508176719114218
97,0.9463537381735913,0.0,0.0,3.2455404583161935,0.0,29.133217425956396
98,11.678069938639792,2.5131654497463325,0.4857504627725215,0.0,0.4857504627725215,8.05293817701906
100,75.94190812251473,24.523221110996847,56.66895910462087,60.42004104963664,24.575925759289728,30.938217725901552
104,0.933257918552036,0.0,0.0,0.0,0.0,0.0
105,8.890722482174688,9.770927601809955,28.252423128342247,15.837318318935965,37.74362509426848,3.224544297614151
108,9.180598047785548,0.0,0.0,0.0,0.0,5.136400058275059
109,0.1052486116824352,0.5311439479638009,0.0,3.0767141865487453,0.0,3.511688219868367
110,36.35667335115865,13.572036113396408,22.685708898944192,10.238788478678185,3.2652511397915807,10.514845142602496
111,1.1073332304949952,0.0,0.0,1.2923618966817496,0.0,0.0
114,8.351383604140958,0.0,0.0,2.269165424036748,0.8817316262169204,0.0
115,1.5532338372411902,2.9184663375839843,32.50934114904703,1.0393635163855752,36.25675412210338,1.8872977512683393
120,0.29713316707802,36.59665625428493,3.4192140580008226,12.285565996503493,1.6267471805155627,10.076148575689016
122,0.3808232208967503,0.0,0.0,0.0,0.0,0.0
125,2.083976072946661,31.526297691279307,14.122033756684493,13.350906905594407,1.2348367012889072,3.307859419991773
130,1.0728127570958454,38.49327372994652,2.9048081208007677,39.75325761860688,3.224383612710818,0.6763227581242287
150,0.2100955111065405,0.0,0.1986868829699712,0.0,1.7972338629507747,0.0
160,1.209180678390237,0.0,0.0,0.0,0.0,0.0
250,6.932803715891951,0.0,0.0,0.0,0.0,0.0
255,3.0175285804881398,0.0,0.0,0.0,0.0,0.0
5,0.0,6.932803715891951,6.932803715891951,0.0,0.0,2.6910971993692585
10,0.0,5.303405234471412,3.0175285804881398,2.285876653983272,0.0,0.0
52,0.0,0.7481756907308378,0.7612447295351706,0.0,0.0,0.0
56,0.0,1.6575719011380776,0.0,0.0,0.0,0.0
64,0.0,1.2923618966817496,0.0,0.0,0.0,0.0
66,0.0,0.1052486116824352,0.0,0.0,0.0,0.0
81,0.0,2.090376688262717,0.0,3.376873585972851,1.0206705059646235,4.597677139037433
84,0.0,2.3154694570135748,0.24857954545454541,0.0,0.0,0.0
87,0.0,11.678069938639792,0.0,0.1172196369806663,1.2001287621692034,0.4140314342520225
94,0.0,13.95371632044426,0.0,0.0,0.7612447295351706,0.0
101,0.0,1.6254081396544633,1.9670242441382149,0.0,0.0,0.0
106,0.0,0.5511224376114082,0.0,0.0,0.0,0.0
107,0.0,1.5659815062388591,12.39550125119978,0.0,12.39550125119978,0.0
112,0.0,27.475217031742766,0.5311439479638009,0.0,0.0,3.511206165158371
116,0.0,30.275472842108872,0.9487372309063484,0.0,17.75182538050185,0.7664937697106814
117,0.0,5.752117827025916,0.0,0.0,0.0,1.2923618966817496
123,0.0,3.336863045043192,0.0,0.0,1.2978519642122583,0.6912664541341011
124,0.0,0.7459796637186342,0.0,0.0,0.0,0.8794820375702729
129,0.0,2.18349358974359,0.339527200740436,1.3569572278211983,0.0,0.0
131,0.0,0.339420077471548,13.95371632044426,0.0,0.0,0.0
134,0.0,3.5444411593308653,0.0,0.8817316262169204,0.0,0.0
135,0.0,18.734761715000687,0.5182891556972438,27.131672708419032,3.274570864184835,0.0
140,0.0,6.965583436171672,10.788089820718497,0.0,5.8348169906074325,0.0
147,0.0,2.564664961264226,0.0,0.0,0.0,0.0
44,0.0,0.0,0.2100955111065405,0.314246109282874,0.0,1.2978519642122583
53,0.0,0.0,0.4140314342520225,26.971469859797068,0.0,0.0
69,0.0,0.0,0.3808232208967503,0.2311720142602495,5.611384632524338,0.0
86,0.0,0.0,0.7870078757027287,0.9855608545865898,0.1925005141916906,12.39550125119978
118,0.0,0.0,9.180598047785548,0.0,0.0,8.729930455573838
145,0.0,0.0,0.946621546345811,2.916993392636775,0.0,1.0960317256273138
152,0.0,0.0,15.293399921157274,0.0,0.0,0.0
180,0.0,0.0,2.778134855340738,0.0,0.0,0.0
184,0.0,0.0,0.314246109282874,0.0,0.0,0.0
200,0.0,0.0,0.6056749622926094,0.0,0.0,0.0
230,0.0,0.0,2.285876653983272,0.0,2.285876653983272,0.0
25,0.0,0.0,0.0,0.3916694518716577,0.0,0.6915342623063211
30,0.0,0.0,0.0,2.3498024646921705,0.4112997908953791,25.31729912244618
54,0.0,0.0,0.0,14.28954776840806,0.2100955111065405,0.0
102,0.0,0.0,0.0,18.294618983957218,0.0,0.0
103,0.0,0.0,0.0,0.3432765151515151,4.157266599821747,0.0
126,0.0,0.0,0.0,2.849371829151241,0.0,2.090376688262717
127,0.0,0.0,0.0,0.9463537381735913,0.0,0.0
136,0.0,0.0,0.0,4.157266599821747,0.0,3.05662857363225
46,0.0,0.0,0.0,0.0,0.314246109282874,0.0
49,0.0,0.0,0.0,0.0,0.1986868829699712,0.0
96,0.0,0.0,0.0,0.0,0.2383492732757438,2.6796082287810226
99,0.0,0.0,0.0,0.0,0.1052486116824352,0.0
132,0.0,0.0,0.0,0.0,1.1816767791032496,0.0
142,0.0,0.0,0.0,0.0,15.293399921157274,23.310558926367747
15,0.0,0.0,0.0,0.0,0.0,1.6254081396544633
28,0.0,0.0,0.0,0.0,0.0,0.314246109282874
29,0.0,0.0,0.0,0.0,0.0,4.157266599821747
32,0.0,0.0,0.0,0.0,0.0,0.1052486116824352
33,0.0,0.0,0.0,0.0,0.0,0.9487372309063484
36,0.0,0.0,0.0,0.0,0.0,0.2612468720005484
39,0.0,0.0,0.0,0.0,0.0,1.1073332304949952
42,0.0,0.0,0.0,0.0,0.0,1.1816767791032496
43,0.0,0.0,0.0,0.0,0.0,0.4171380090497738
47,0.0,0.0,0.0,0.0,0.0,9.180598047785548
119,0.0,0.0,0.0,0.0,0.0,30.275472842108872
143,0.0,0.0,0.0,0.0,0.0,18.294618983957218
